category,sub_category,arrest_made,latitude,longitude
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.775032539,-87.682173583
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.881036789,-87.771818894
BATTERY,AGGRAVATED: HANDGUN,N,41.910159288,-87.703678921
ASSAULT,AGGRAVATED: HANDGUN,N,41.891121424,-87.684260927
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.723634501,-87.587391921
ASSAULT,AGGRAVATED: HANDGUN,N,41.825362945,-87.610192523
ASSAULT,AGGRAVATED: HANDGUN,N,41.735088761,-87.545781422
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.789696851,-87.653544184
ASSAULT,AGGRAVATED: HANDGUN,N,41.764221922,-87.684452865
ROBBERY,ARMED: HANDGUN,N,41.765102317,-87.624897558
ROBBERY,ARMED: HANDGUN,N,41.963419436,-87.726672086
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.90961085,-87.747303173
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N,41.703017671,-87.622217763
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,Y,41.758977253,-87.567198185
BATTERY,AGGRAVATED: HANDGUN,N,41.959437255,-87.785554629
ROBBERY,ARMED: HANDGUN,N,41.700499445,-87.56319457
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.780407535,-87.689774647
OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,Y,41.717657854,-87.617671992
ROBBERY,ARMED: HANDGUN,N,41.894282641,-87.724829222
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.794348335,-87.579637896
CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,N,41.780782496,-87.638712365
BATTERY,AGGRAVATED: HANDGUN,N,41.871883883,-87.704414529
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.67749962,-87.656552816
ASSAULT,AGGRAVATED: HANDGUN,N,41.800708597,-87.653827574
BATTERY,AGGRAVATED: HANDGUN,N,41.654457771,-87.613146654
ASSAULT,AGGRAVATED: HANDGUN,N,41.722300037,-87.632166603
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.875843181,-87.747890824
ASSAULT,AGGRAVATED: HANDGUN,N,41.775998479,-87.599745249
ASSAULT,AGGRAVATED: HANDGUN,Y,41.899643987,-87.726214551
BATTERY,AGGRAVATED: HANDGUN,Y,41.861880326,-87.712853196
BATTERY,AGGRAVATED: HANDGUN,Y,41.91325162,-87.774101073
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.726028494,-87.548397775
BATTERY,AGGRAVATED: HANDGUN,N,41.695799448,-87.620785048
ROBBERY,ARMED: HANDGUN,N,41.731464008,-87.584436405
ROBBERY,ARMED: HANDGUN,Y,41.88456033,-87.735909158
ROBBERY,ARMED: HANDGUN,N,41.802300448,-87.666027677
ROBBERY,ARMED: HANDGUN,Y,41.727175279,-87.604594406
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.851158797,-87.700334187
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.747895622,-87.671864673
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.800100705,-87.620980383
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.890949318,-87.707639495
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.870831162,-87.716247283
ASSAULT,AGGRAVATED: HANDGUN,N,41.758078549,-87.559222587
ASSAULT,AGGRAVATED: HANDGUN,N,41.749957234,-87.633071386
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.79769547,-87.755108568
ASSAULT,AGGRAVATED: HANDGUN,N,41.801454751,-87.619391989
ASSAULT,AGGRAVATED: HANDGUN,N,41.887443217,-87.712381872
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.902283468,-87.752652483
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.78161502,-87.615659667
ROBBERY,ARMED: HANDGUN,N,41.781912183,-87.700784721
ROBBERY,ARMED: HANDGUN,N,41.920574812,-87.746912585
ROBBERY,ARMED: HANDGUN,N,41.872526667,-87.627545764
BATTERY,AGGRAVATED: HANDGUN,N,41.865576557,-87.721496324
BATTERY,AGGRAVATED: HANDGUN,N,41.903012466,-87.687226166
ROBBERY,ARMED: HANDGUN,N,41.76825298,-87.629844582
ROBBERY,ARMED: HANDGUN,N,41.890097998,-87.626199154
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.90229415,-87.751509969
BATTERY,AGGRAVATED: HANDGUN,N,41.929638241,-87.797874475
ASSAULT,AGGRAVATED: HANDGUN,N,41.721888662,-87.614445509
ASSAULT,AGGRAVATED: HANDGUN,N,41.904103863,-87.696909444
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,41.767524072,-87.674459981
OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,Y,41.908220296,-87.712463436
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.687061424,-87.664613185
ASSAULT,AGGRAVATED: HANDGUN,Y,41.655821115,-87.601322854
ASSAULT,AGGRAVATED: HANDGUN,N,41.936687822,-87.656428858
ASSAULT,AGGRAVATED: HANDGUN,N,41.864284093,-87.729287898
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.721324303,-87.595975476
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.873346787,-87.703452888
ROBBERY,ARMED: HANDGUN,N,41.904060299,-87.680834794
ROBBERY,ARMED: HANDGUN,N,41.767346495,-87.607644321
ASSAULT,AGGRAVATED: HANDGUN,N,41.91027426,-87.69123823
BATTERY,AGGRAVATED: HANDGUN,N,41.850342174,-87.716179977
ROBBERY,ARMED: HANDGUN,N,41.766458362,-87.65172216
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.823160122,-87.664684794
BATTERY,AGGRAVATED: HANDGUN,N,41.890894422,-87.719844454
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.900020788,-87.723782972
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.785813869,-87.672864736
BATTERY,AGGRAVATED: HANDGUN,N,41.728538951,-87.661281758
ASSAULT,AGGRAVATED: HANDGUN,N,41.798769644,-87.690276775
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.747824891,-87.643959918
ROBBERY,ARMED: HANDGUN,N,41.762401555,-87.576218227
ROBBERY,ARMED: HANDGUN,N,41.964678068,-87.711110334
ASSAULT,AGGRAVATED: HANDGUN,N,41.772972156,-87.689581362
ROBBERY,ARMED: HANDGUN,Y,41.779824738,-87.60287304
ROBBERY,ATTEMPT: ARMED-HANDGUN,Y,41.729028352,-87.58674337
ASSAULT,AGGRAVATED: HANDGUN,N,41.778844906,-87.710988877
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,42.016023215,-87.669214861
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.755358678,-87.663560189
ASSAULT,AGGRAVATED: HANDGUN,N,41.74035488,-87.661565287
BATTERY,AGGRAVATED: HANDGUN,N,41.876915862,-87.679667927
ASSAULT,AGGRAVATED: HANDGUN,N,41.781877366,-87.688597675
ROBBERY,ARMED: HANDGUN,N,41.894898559,-87.759720016
ROBBERY,ARMED: HANDGUN,N,41.748074236,-87.663379392
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.861663663,-87.722605571
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.747831823,-87.547970993
ASSAULT,AGG PRO.EMP: HANDGUN,Y,41.891691875,-87.69005076
ASSAULT,AGGRAVATED: HANDGUN,Y,41.780655796,-87.653313373
ASSAULT,AGGRAVATED: HANDGUN,Y,41.772393165,-87.650148965
ASSAULT,AGGRAVATED: HANDGUN,Y,41.781499104,-87.605955856
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.767774158,-87.671180307
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.865727523,-87.721502227
ASSAULT,AGGRAVATED: HANDGUN,N,41.91253365,-87.695830068
ROBBERY,ARMED: HANDGUN,N,41.758309122,-87.598084858
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.755859312,-87.601656868
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.692576964,-87.623786349
ASSAULT,AGGRAVATED: HANDGUN,Y,41.768607797,-87.615335449
BATTERY,AGGRAVATED: HANDGUN,N,41.865241697,-87.721484832
ASSAULT,AGGRAVATED: HANDGUN,N,41.82584526,-87.600559684
BATTERY,AGGRAVATED: HANDGUN,N,41.87620094,-87.71001587
ASSAULT,AGGRAVATED: HANDGUN,N,41.732110965,-87.643501482
ROBBERY,ARMED: HANDGUN,N,41.752690858,-87.576009853
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.765430523,-87.630077021
ROBBERY,ARMED: HANDGUN,N,41.779074091,-87.696226042
BATTERY,AGGRAVATED: HANDGUN,N,41.734991006,-87.649680823
BATTERY,AGGRAVATED: HANDGUN,N,41.880653484,-87.73188785
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.833103649,-87.684484156
ASSAULT,AGGRAVATED: HANDGUN,N,41.953938505,-87.767025198
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.749488797,-87.602363195
BATTERY,AGGRAVATED: HANDGUN,N,41.88099198,-87.704402338
OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,Y,41.691964476,-87.621043395
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.960987819,-87.724551615
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N,41.679716487,-87.633998147
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.883092377,-87.680012597
ASSAULT,AGGRAVATED: HANDGUN,N,41.767843612,-87.685772673
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N,41.770891003,-87.628624357
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.864353478,-87.724239353
ASSAULT,AGGRAVATED: HANDGUN,Y,41.762268782,-87.664965474
ASSAULT,AGGRAVATED: HANDGUN,Y,41.865239745,-87.720089778
BATTERY,AGGRAVATED: HANDGUN,N,41.774028085,-87.611880258
ASSAULT,AGGRAVATED: HANDGUN,Y,41.733368826,-87.649632078
ASSAULT,AGGRAVATED: HANDGUN,N,41.779800967,-87.625377411
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.766247597,-87.575997062
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,41.773895414,-87.640711342
BATTERY,AGGRAVATED: HANDGUN,N,41.855285926,-87.650471472
BATTERY,AGGRAVATED: HANDGUN,N,41.780018994,-87.693419244
ASSAULT,AGGRAVATED: HANDGUN,Y,41.863429719,-87.731204933
BATTERY,AGGRAVATED: HANDGUN,N,41.863563311,-87.710458021
ASSAULT,AGGRAVATED: HANDGUN,N,41.947154079,-87.712732767
ROBBERY,ARMED: HANDGUN,N,41.793878283,-87.625680912
ASSAULT,AGGRAVATED: HANDGUN,Y,41.872020496,-87.639957754
ASSAULT,AGGRAVATED: HANDGUN,N,41.918221894,-87.785583909
ASSAULT,AGGRAVATED: HANDGUN,N,41.682883878,-87.668756598
ASSAULT,AGGRAVATED: HANDGUN,N,41.852153841,-87.677152553
ROBBERY,ARMED: HANDGUN,N,41.737265387,-87.609690465
ROBBERY,ARMED: HANDGUN,N,41.897756128,-87.651899833
BATTERY,AGGRAVATED: HANDGUN,N,41.766012007,-87.58275181
BATTERY,AGGRAVATED: HANDGUN,N,41.880455266,-87.728111102
ROBBERY,ARMED: HANDGUN,N,41.736372225,-87.556944239
ASSAULT,AGGRAVATED: HANDGUN,N,41.781305082,-87.663400241
BATTERY,AGGRAVATED: HANDGUN,N,41.881734769,-87.751608387
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.793924717,-87.673599252
ROBBERY,ARMED: HANDGUN,N,41.750773911,-87.634689639
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,41.877633977,-87.679513731
ROBBERY,ARMED: HANDGUN,N,41.754311332,-87.641039214
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.757327195,-87.644213747
ROBBERY,ARMED: HANDGUN,N,41.918817288,-87.648534275
BATTERY,AGGRAVATED: HANDGUN,N,41.786517079,-87.648605673
ROBBERY,ARMED: HANDGUN,N,41.780373703,-87.608087748
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.725880186,-87.549989445
ROBBERY,ARMED: HANDGUN,N,41.761926435,-87.679392158
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.868289635,-87.700051402
ROBBERY,ARMED: HANDGUN,N,41.777744971,-87.6155635
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.793436846,-87.654857841
ROBBERY,ARMED: HANDGUN,N,41.780087726,-87.683662323
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.863948042,-87.708031315
ASSAULT,AGGRAVATED: HANDGUN,N,41.77514099,-87.650743041
ROBBERY,ARMED: HANDGUN,N,41.813800046,-87.689781631
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.768096835,-87.663878589
ASSAULT,AGGRAVATED: HANDGUN,Y,41.776797204,-87.667820924
ASSAULT,AGGRAVATED: HANDGUN,N,41.783081793,-87.666428649
ASSAULT,AGGRAVATED: HANDGUN,N,41.793835574,-87.681539573
ROBBERY,ARMED: HANDGUN,N,41.894496091,-87.745792225
ROBBERY,ARMED: HANDGUN,N,41.902217176,-87.758567201
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.791807228,-87.643877559
ROBBERY,ARMED: HANDGUN,N,41.892389107,-87.706461166
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.703449284,-87.629024359
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.778397097,-87.688507883
BATTERY,AGGRAVATED: HANDGUN,N,41.931028264,-87.717174172
BATTERY,AGGRAVATED: HANDGUN,N,41.87270939,-87.711881958
ROBBERY,ARMED: HANDGUN,N,41.903250343,-87.694427342
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.735138542,-87.647268465
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.877753054,-87.647239698
ASSAULT,AGGRAVATED: HANDGUN,N,41.986737484,-87.670681646
ASSAULT,AGGRAVATED: HANDGUN,N,41.863194829,-87.650926979
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.90289569,-87.728773495
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.929886952,-87.782003944
ASSAULT,AGGRAVATED: HANDGUN,N,41.750441307,-87.594249771
ROBBERY,ARMED: HANDGUN,N,41.746403307,-87.653627313
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.799903193,-87.706189772
ASSAULT,AGGRAVATED: HANDGUN,N,41.823334783,-87.621592419
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.885375199,-87.743841292
ASSAULT,AGGRAVATED: HANDGUN,Y,41.699769339,-87.631748621
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N,41.758135413,-87.630849382
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.729782134,-87.664104361
ASSAULT,AGGRAVATED: HANDGUN,N,41.86298163,-87.703932755
ASSAULT,AGGRAVATED: HANDGUN,Y,41.693188884,-87.64819774
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.746194482,-87.6439114
ASSAULT,AGGRAVATED: HANDGUN,Y,41.753062951,-87.661894565
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.878554737,-87.748475629
ASSAULT,AGGRAVATED: HANDGUN,N,41.837855325,-87.720710918
ROBBERY,ARMED: HANDGUN,N,41.893945338,-87.75678656
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.744440245,-87.663288919
ASSAULT,AGGRAVATED: HANDGUN,N,41.872815608,-87.702173016
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.76622433,-87.57829932
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.676973414,-87.634657453
ASSAULT,AGGRAVATED: HANDGUN,Y,41.77922563,-87.637211307
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,Y,41.786774667,-87.662496279
BATTERY,AGGRAVATED: HANDGUN,N,41.738910464,-87.649778487
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.74836467,-87.641535527
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.765620989,-87.619576803
BATTERY,AGGRAVATED: HANDGUN,N,41.895734086,-87.731026471
ROBBERY,ARMED: HANDGUN,N,41.766686762,-87.56978969
BATTERY,AGGRAVATED: HANDGUN,N,41.934578476,-87.722156675
ASSAULT,AGGRAVATED: HANDGUN,N,41.90552651,-87.71063072
BATTERY,AGGRAVATED: HANDGUN,Y,41.896222471,-87.717556596
ROBBERY,ARMED: HANDGUN,N,41.800468654,-87.687883221
ROBBERY,ARMED: HANDGUN,N,41.912641265,-87.767706357
ASSAULT,AGGRAVATED: HANDGUN,Y,41.779960201,-87.632099778
ROBBERY,ARMED: HANDGUN,N,41.950038691,-87.752142066
ASSAULT,AGGRAVATED: HANDGUN,N,41.823760579,-87.70443076
ASSAULT,AGGRAVATED: HANDGUN,N,41.80961996,-87.598657506
ASSAULT,AGGRAVATED: HANDGUN,N,41.892215738,-87.751744681
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.772343238,-87.610594066
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.750397701,-87.627019868
BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,Y,41.709679842,-87.655651385
ROBBERY,ARMED: HANDGUN,N,41.935857404,-87.647363358
ROBBERY,ARMED: HANDGUN,Y,41.776217883,-87.703802936
BATTERY,AGGRAVATED: HANDGUN,N,41.718740375,-87.640717846
ASSAULT,AGGRAVATED: HANDGUN,N,42.011230252,-87.683313529
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,41.746765368,-87.602624951
ROBBERY,ARMED: HANDGUN,N,41.827386939,-87.624071858
BATTERY,AGGRAVATED: HANDGUN,N,41.744594965,-87.556251559
ASSAULT,AGGRAVATED: HANDGUN,N,42.02252504,-87.672216552
ROBBERY,ARMED: HANDGUN,N,41.7897808,-87.709955378
ROBBERY,ARMED: HANDGUN,N,41.785695223,-87.688695094
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.78709176,-87.641009332
ROBBERY,ARMED: HANDGUN,N,41.857836363,-87.733195599
ASSAULT,AGGRAVATED: HANDGUN,N,41.788884096,-87.642885823
ROBBERY,ARMED: HANDGUN,N,41.719862861,-87.56026016
ASSAULT,AGGRAVATED: HANDGUN,N,41.866148185,-87.726825268
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.80255303,-87.653874104
ASSAULT,AGGRAVATED: HANDGUN,N,41.765253769,-87.615255549
ROBBERY,ARMED: HANDGUN,N,41.821536978,-87.621542622
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N,41.878503488,-87.687686085
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.783248124,-87.61570012
ASSAULT,AGGRAVATED: HANDGUN,N,41.692358646,-87.623096746
ASSAULT,AGGRAVATED: HANDGUN,N,41.852898037,-87.673408342
